0020     SPACE
2576  ╶  BOX DRAWINGS LIGHT RIGHT
2577  ╷  BOX DRAWINGS LIGHT DOWN
2578  ╸  BOX DRAWINGS HEAVY LEFT
2579  ╹  BOX DRAWINGS HEAVY UP
257A  ╺  BOX DRAWINGS HEAVY RIGHT
257B  ╻  BOX DRAWINGS HEAVY DOWN
257C  ╼  BOX DRAWINGS LIGHT LEFT AND HEAVY RIGHT
257D  ╽  BOX DRAWINGS LIGHT UP AND HEAVY DOWN
257E  ╾  BOX DRAWINGS HEAVY LEFT AND LIGHT RIGHT
257F  ╿  BOX DRAWINGS HEAVY UP AND LIGHT DOWN
2580  ▀  UPPER HALF BLOCK
2581  ▁  LOWER ONE EIGHTH BLOCK
2582  ▂  LOWER ONE QUARTER BLOCK
2583  ▃  LOWER THREE EIGHTHS BLOCK
2584  ▄  LOWER HALF BLOCK
2585  ▅  LOWER FIVE EIGHTHS BLOCK
2586  ▆  LOWER THREE QUARTERS BLOCK
2587  ▇  LOWER SEVEN EIGHTHS BLOCK
2588  █  FULL BLOCK
2589  ▉  LEFT SEVEN EIGHTHS BLOCK
258A  ▊  LEFT THREE QUARTERS BLOCK
258B  ▋  LEFT FIVE EIGHTHS BLOCK
258C  ▌  LEFT HALF BLOCK
258D  ▍  LEFT THREE EIGHTHS BLOCK
258E  ▎  LEFT ONE QUARTER BLOCK
258F  ▏  LEFT ONE EIGHTH BLOCK
2590  ▐  RIGHT HALF BLOCK
2591  ░  LIGHT SHADE
2592  ▒  MEDIUM SHADE
2593  ▓  DARK SHADE
2594  ▔  UPPER ONE EIGHTH BLOCK
2595  ▕  RIGHT ONE EIGHTH BLOCK
2596  ▖  QUADRANT LOWER LEFT
2597  ▗  QUADRANT LOWER RIGHT
2598  ▘  QUADRANT UPPER LEFT
2599  ▙  QUADRANT UPPER LEFT AND LOWER LEFT AND LOWER RIGHT
259A  ▚  QUADRANT UPPER LEFT AND LOWER RIGHT
259B  ▛  QUADRANT UPPER LEFT AND UPPER RIGHT AND LOWER LEFT
259C  ▜  QUADRANT UPPER LEFT AND UPPER RIGHT AND LOWER RIGHT
259D  ▝  QUADRANT UPPER RIGHT
259E  ▞  QUADRANT UPPER RIGHT AND LOWER LEFT
259F  ▟  QUADRANT UPPER RIGHT AND LOWER LEFT AND LOWER RIGHT
25A0  ■  BLACK SQUARE
25A1  □  WHITE SQUARE
25A2  ▢  WHITE SQUARE WITH ROUNDED CORNERS
25A3  ▣  WHITE SQUARE CONTAINING BLACK SMALL SQUARE
25A4  ▤  SQUARE WITH HORIZONTAL FILL
25A5  ▥  SQUARE WITH VERTICAL FILL
25A6  ▦  SQUARE WITH ORTHOGONAL CROSSHATCH FILL
25A7  ▧  SQUARE WITH UPPER LEFT TO LOWER RIGHT FILL
25A8  ▨  SQUARE WITH UPPER RIGHT TO LOWER LEFT FILL
25A9  ▩  SQUARE WITH DIAGONAL CROSSHATCH FILL
25AA  ▪  BLACK SMALL SQUARE
25AB  ▫  WHITE SMALL SQUARE
25AC  ▬  BLACK RECTANGLE
25AD  ▭  WHITE RECTANGLE
25AE  ▮  BLACK VERTICAL RECTANGLE
25AF  ▯  WHITE VERTICAL RECTANGLE
25B0  ▰  BLACK PARALLELOGRAM
25B1  ▱  WHITE PARALLELOGRAM
25B2  ▲  BLACK UP-POINTING TRIANGLE
25B3  △  WHITE UP-POINTING TRIANGLE
25B4  ▴  BLACK UP-POINTING SMALL TRIANGLE
25B5  ▵  WHITE UP-POINTING SMALL TRIANGLE
25B6  ▶  BLACK RIGHT-POINTING TRIANGLE
25B7  ▷  WHITE RIGHT-POINTING TRIANGLE
25B8  ▸  BLACK RIGHT-POINTING SMALL TRIANGLE
25B9  ▹  WHITE RIGHT-POINTING SMALL TRIANGLE
25BA  ►  BLACK RIGHT-POINTING POINTER
25BB  ▻  WHITE RIGHT-POINTING POINTER
25BC  ▼  BLACK DOWN-POINTING TRIANGLE
25BD  ▽  WHITE DOWN-POINTING TRIANGLE
25BE  ▾  BLACK DOWN-POINTING SMALL TRIANGLE
25BF  ▿  WHITE DOWN-POINTING SMALL TRIANGLE
25C0  ◀  BLACK LEFT-POINTING TRIANGLE
25C1  ◁  WHITE LEFT-POINTING TRIANGLE
25C2  ◂  BLACK LEFT-POINTING SMALL TRIANGLE
25C3  ◃  WHITE LEFT-POINTING SMALL TRIANGLE
25C4  ◄  BLACK LEFT-POINTING POINTER
25C5  ◅  WHITE LEFT-POINTING POINTER
25C6  ◆  BLACK DIAMOND
25C7  ◇  WHITE DIAMOND
25C8  ◈  WHITE DIAMOND CONTAINING BLACK SMALL DIAMOND
25C9  ◉  FISHEYE
25CA  ◊  LOZENGE
25CB  ○  WHITE CIRCLE
25CC  ◌  DOTTED CIRCLE
25CD  ◍  CIRCLE WITH VERTICAL FILL
25CE  ◎  BULLSEYE
25CF  ●  BLACK CIRCLE
25D0  ◐  CIRCLE WITH LEFT HALF BLACK
25D1  ◑  CIRCLE WITH RIGHT HALF BLACK
25D2  ◒  CIRCLE WITH LOWER HALF BLACK
25D3  ◓  CIRCLE WITH UPPER HALF BLACK
25D4  ◔  CIRCLE WITH UPPER RIGHT QUADRANT BLACK
25D5  ◕  CIRCLE WITH ALL BUT UPPER LEFT QUADRANT BLACK
25D6  ◖  LEFT HALF BLACK CIRCLE
25D7  ◗  RIGHT HALF BLACK CIRCLE
25D8  ◘  INVERSE BULLET
25D9  ◙  INVERSE WHITE CIRCLE
25DA  ◚  UPPER HALF INVERSE WHITE CIRCLE
25DB  ◛  LOWER HALF INVERSE WHITE CIRCLE
25DC  ◜  UPPER LEFT QUADRANT CIRCULAR ARC
25DD  ◝  UPPER RIGHT QUADRANT CIRCULAR ARC
25DE  ◞  LOWER RIGHT QUADRANT CIRCULAR ARC
25DF  ◟  LOWER LEFT QUADRANT CIRCULAR ARC
25E0  ◠  UPPER HALF CIRCLE
25E1  ◡  LOWER HALF CIRCLE
25E2  ◢  BLACK LOWER RIGHT TRIANGLE
25E3  ◣  BLACK LOWER LEFT TRIANGLE
25E4  ◤  BLACK UPPER LEFT TRIANGLE
25E5  ◥  BLACK UPPER RIGHT TRIANGLE
25E6  ◦  WHITE BULLET
25E7  ◧  SQUARE WITH LEFT HALF BLACK
25E8  ◨  SQUARE WITH RIGHT HALF BLACK
25E9  ◩  SQUARE WITH UPPER LEFT DIAGONAL HALF BLACK
25EA  ◪  SQUARE WITH LOWER RIGHT DIAGONAL HALF BLACK
25EB  ◫  WHITE SQUARE WITH VERTICAL BISECTING LINE
25EC  ◬  WHITE UP-POINTING TRIANGLE WITH DOT
25ED  ◭  UP-POINTING TRIANGLE WITH LEFT HALF BLACK
25EE  ◮  UP-POINTING TRIANGLE WITH RIGHT HALF BLACK
25EF  ◯  LARGE CIRCLE
25F0  ◰  WHITE SQUARE WITH UPPER LEFT QUADRANT
25F1  ◱  WHITE SQUARE WITH LOWER LEFT QUADRANT
25F2  ◲  WHITE SQUARE WITH LOWER RIGHT QUADRANT
25F3  ◳  WHITE SQUARE WITH UPPER RIGHT QUADRANT
25F4  ◴  WHITE CIRCLE WITH UPPER LEFT QUADRANT
25F5  ◵  WHITE CIRCLE WITH LOWER LEFT QUADRANT
25F6  ◶  WHITE CIRCLE WITH LOWER RIGHT QUADRANT
25F7  ◷  WHITE CIRCLE WITH UPPER RIGHT QUADRANT
25F8  ◸  UPPER LEFT TRIANGLE
25F9  ◹  UPPER RIGHT TRIANGLE
25FA  ◺  LOWER LEFT TRIANGLE
25FB  ◻  WHITE MEDIUM SQUARE
25FC  ◼  BLACK MEDIUM SQUARE
25FD  ◽  WHITE MEDIUM SMALL SQUARE
25FE  ◾  BLACK MEDIUM SMALL SQUARE
25FF  ◿  LOWER RIGHT TRIANGLE
